57z9,γλίσχρως προθυμεῖσθαι
57z11,γαληνίζει καὶ διεσκέδασται τὰ μέτωπα
57z13,γραμματιστής
57z14,γάστρις
57z15,γεωνόμης καὶ γεωμέτρης
57z18,γόμφος
57z19,γυμνοπαιδιά
58z1,γαμικὰ μέλη
58z2,γλαφυρὰ κωμῳδία
58z5,γνώμην ἐμήν
58z7,γέρανδρυς
58z8,γλωττοκομεῖον
58z12,γλῶτται αὐλῶν καὶ γλῶτται ὑποδημάτων
58z14,γρυλίζειν καὶ γρυλισμός
59z5,γογγυλίς
59z7,γέρων στύππινος
59z10,γνωσιμαχῆσαι
59z13,γαστροχάρυβδις
59z15,γραῦς ἀναθυᾶ
60z3,γλίσχρος
60z5,γεῖσα
60z6,γέρρα
60z9,γραῦς
60z11,γρασός
60z14,γρυμεῖα
60z19,γύννις
61z1,γόμφιοι
61z5,δικαιόσυνος Ζεύς
61z8,δυσλογεῖν
61z9,δημεχθὴς ἄνθρωπος
61z11,δημοπίθηκος
61z13,διαδρησιπολίτης
61z16,δεσμιώτατος
61z18,δύσκληρος
61z20,διασείεσθαι πρὸς τόνδε
61z22,δειπνοπίθηκος
62z1,διατοιχεῖν
62z4,δισχιδὴς ὁδός
62z6,δωροληψία
62z7,δι' οὐδενὸς ποιεῖσθαι τόνδε
62z9,δικομήτρα
62z11,διακυροῦν
62z12,δυσμάραντον κακόν
62z14,δυσπρόσωπα ὄμματα
62z15,δικορράπτης καὶ δικορράφος
62z16,δυσοιωνεῖν
62z18,δρομικὴ γλῶσσα
63z1,δίαιταν ἐπιτρέπειν
63z4,διέφθορεν
63z8,διενέγκειε καὶ διενέγκοι
63z11,δικολύμης ἄνθρωπος
63z13,διετησίως
63z15,διώμοτος
63z17,δεινὰ φυσᾶν
63z19,διαλαβεῖν
64z1,διαμυλλαίνειν
64z3,διασοφίζεσθαι
64z5,διεσφηκῶσθαι
64z7,διαιρεῖν ἔχθραν
64z8,δέδεται ἡ ψυχὴ ὑπ' ὀδύνης
64z10,"δακνᾶς ἵππος, δακνᾶς ὄνος"
64z11,δυσήλιον θέρος
64z13,διασιλλοῦν καὶ διασιλλῶσαι
64z16,δημοφανὲς πρᾶγμα
64z17,διαλινῆσαι
64z18,δίχα
64z20,δι' ἔχθρας γενέσθαι καὶ δι' ὄχλου γενέσθαι.
64z21,διάθεσις λόγου
65z1,δυσορκῆσαι
65z2,δέσις
65z46,δι' ἀσχολίας πολλῆς <γὰρ> ἦλθον ἐπὶ τόδε
65z8,δυσγάργαλος
65z9,διᾴσασθαι
65z11,διαλέξασθαι
65z13,δυσέριστος
65z14,δέος καίριον
65z15,διχόρροπος γνώμη
65z17,διακοῦσαι
65z18,ἐπιδεικνύμενος
65z20,ἔξηβον
65z22,ἑτερεγκεφαλεῖν
66z5,ἐσμὸς μελισσῶν καὶ σμῆνος μελισσῶν
66z7,ἑστιᾶν τῷδε
66z13,ἔδει
66z18,ἐπιπολῆς
67z4,εὐνοϊκῶς
67z5,ἐλαφρὸν παραινεῖν <τῷ> κακῶς πεπραγότι
67z7,ἐξεγγυήσασθαι
67z10,ἐπῳδαί καὶ ἐπῳδή
67z12,εὐημερία
67z16,ἐξορμενίζειν
68z3,ἔνδειγμα
68z6,ἑτεραχθεῖ
68z9,ἔκμετρος πλοῦτος καὶ ἔκμετρος χρυσός
68z12,ἐζωμευμένα κρέα
68z13,ἐκρότησεν
68z14,εὐπροσόμιλος
68z16,ἐκκροτεῖν ῥήτορας
68z18,ἐρρωγότας λέγειν λόγους
69z4,ἐφιππάσασθαι λόγοις
69z6,ἐνσεσεισμένη
69z9,ἐτνήρυσις
69z12,εὔερος ὀΐς καὶ εὔερον ἱμάτιον
69z14,ἐπικαττύειν καὶ πτερνίζειν
69z19,ἐπεσκεύασται τὸ δεῖπνον
69z21,εἰκοβολεῖν
70z1,εἰς τὴν κερδαίνουσαν πάντα ὠθεῖν πήραν
70z3,ἐμπυρεύεσθαι
70z5,εὐτράπεζος ἄνθρωπος
70z7,ἔργοις παθὼν ῥήμασιν ἀμύνεται
70z9,ἐπ' ἄκρων κάθησθε τῶν πυγιδίων
70z13,ἐπίμεστα πλουτῶν
70z15,ἐλαιοπληθής
70z16,ἐπώνια
70z18,ἐπιδείκνυ
70z22,ἐπιτριπτότατος ἄνθρωπος
70z24,ἐσχάρα
71z1,ἐπιχαιρέκακος ἄνθρωπος
71z3,ἐκζωπυρεῖν πῦρ
71z5,ἐκθάλπεσθαι ἔρωτι
71z7,εὔορνις τύχη
71z9,εὐθετεῖν νεκρόν
71z11,εἰς γόνυ πεσεῖν
71z14,ἐπιβατεύειν νεώς
71z15,ἐντρίβεσθαι
71z17,ἔξεδρον
71z18,ἐγὼ σιωπῶ τῷδε
72z3,ἔνδυθι
72z4,ἐπέτειον
72z6,ἐπὶ ῥητοῖς
72z7,ἔσεισέ μου τὴν καρδίαν
72z9,ἐξῶλες κακόν
